contract_number,s3_full_path,account_name,doc_type,status_reason,contract_title,contract_requester,reviewing_attorney,created_on,document_effective_date,parent_contract,solution_line,account_type,sharepoint_document_url,document_title,related_product,matched_client,matched_pattern,file_name
69035,s3://ml-legal-restricted/contract-docs/69035/Highmark- Cotiviti - Amendment 7 - SC - 09282022 - Dynamics 69035.pdf,Highmark Blue Cross Blue Shield,Amendment,Fully-Executed/Complete,Amend 7 to SOW 17 (7/12/22-12/31/23 Buy Up),Carla Galisin,Saloni Choudhry,2022-07-22 16:11:40,2022-07-12,53971,Quality Improvement,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/69035/Highmark- Cotiviti - Amendment 7 - SC - 09282022 - Dynamics 69035.pdf,Amendment #7 To Statement of Work #17 for Hosted Quality Intelligence,Quality Intelligence,Highmark,\bhighmark\b,Highmark- Cotiviti - Amendment 7 - SC - 09282022 - Dynamics 69035.pdf
71893,s3://ml-legal-restricted/contract-docs/71893/Cotiviti Inc-AM9-Master SOW and MSA amendment -Exhibit-Jul22-SIR-62277.pdf,"Anthem, Inc (WellPoint, Inc.)",Amendment,Fully-Executed/Complete,Amendment 9 to MSA,Angelica Miranda,Jeffrey Koslowski,2023-05-08 18:53:36,2022-07-09,55948,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/71893/Cotiviti Inc-AM9-Master SOW and MSA amendment -Exhibit-Jul22-SIR-62277.pdf,"---AMENDMENT #9 TO THE MASTER SERVICES AGREEMENT BETWEEN ELEVANCE HEALTH, INC. AND COTIVITI, INC.",Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,Cotiviti Inc-AM9-Master SOW and MSA amendment -Exhibit-Jul22-SIR-62277.pdf
68954,s3://ml-legal-restricted/contract-docs/68954/Premera Blue Cross - Cotiviti - NDA - MV - 07132022 - Dynamics_68954.pdf,Premera Blue Cross,NDA,Fully-Executed/Complete,Premera_Risk Adjustment_NDA,Todd Fenton,Mahalakshmi Vyakaranam,2022-07-13 14:51:43,2022-07-08,,Risk Adjustment,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68954/Premera Blue Cross - Cotiviti - NDA - MV - 07132022 - Dynamics_68954.pdf,RECIPROCAL NON-DISCLOSURE/CONFIDENTIALITY AGREEMENT,RA - Medical Record Retrieval,,,Premera Blue Cross - Cotiviti - NDA - MV - 07132022 - Dynamics_68954.pdf
68428,s3://ml-legal-restricted/contract-docs/68428/Centene Corporation - Cotiviti - Work Order Change Request - JK - 07072022 - Dynamics_68428.pdf,Centene Corporation,Work Order / Change Request,Fully-Executed/Complete,Centene - Eliza - Address Change LHCC,Patrick Murphy,Jeffrey Koslowski,2022-05-18 14:43:26,2022-07-07,66856,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68428/Centene Corporation - Cotiviti - Work Order Change Request - JK - 07072022 - Dynamics_68428.pdf,ELIZA® SERVICES CHANGE ORDER FORM,Eliza Standard,Centene,\bcentene\b,Centene Corporation - Cotiviti - Work Order Change Request - JK - 07072022 - Dynamics_68428.pdf
68501,s3://ml-legal-restricted/contract-docs/68501/Anthem - Cotiviti - Amendment 27 - JK - 0712022 - Dynamics_68501.pdf,"Anthem, Inc (WellPoint, Inc.)",Amendment,Fully-Executed/Complete,Amendment #27 - Cancellation of Pay Percent Selected Rules Amendment #6,Sam Barley,Jeffrey Koslowski,2022-05-25 21:21:25,2022-07-01,55955,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68501/Anthem - Cotiviti - Amendment 27 - JK - 0712022 - Dynamics_68501.pdf,AMENDMENT #27 TO THE HEALTH CARE SERVICES AGREEMENT,Payment Policy Management,Anthem/Elevance,\b(anthem|elevance)\b,Anthem - Cotiviti - Amendment 27 - JK - 0712022 - Dynamics_68501.pdf
67775,s3://ml-legal-restricted/contract-docs/67775/BCBSTN - Cotiviti - SOW 03 - JK - 06302022 - Dynamics_67775.pdf,Blue Cross Blue Shield of Tennessee,SOW,Fully-Executed/Complete,BCBSTN - FWAV SOW,Kev Smith,Jeffrey Koslowski,2022-03-10 20:30:06,2022-07-01,55268,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/67775/BCBSTN - Cotiviti - SOW 03 - JK - 06302022 - Dynamics_67775.pdf,Statement of Work #3,Claim Pattern Review,BCBSTN,\b(blue\s*cross\s*blue\s*shield\s*of\s*tennessee|bcbstn)\b,BCBSTN - Cotiviti - SOW 03 - JK - 06302022 - Dynamics_67775.pdf
68994,s3://ml-legal-restricted/contract-docs/68994/OptumCare - Cotiviti - Termination - AS - 06302022 - Dynamics_68994.pdf,OptumCare,Termination,Fully-Executed/Complete,Optum Care MRA U of U Termination,Gina O'Connell,Adam Speer,2022-07-19 15:10:41,2022-06-30,,Risk Adjustment,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68994/OptumCare - Cotiviti - Termination - AS - 06302022 - Dynamics_68994.pdf,Termination Summary,RA - Medical Record Retrieval,,,OptumCare - Cotiviti - Termination - AS - 06302022 - Dynamics_68994.pdf
68511,s3://ml-legal-restricted/contract-docs/68511/BCBSLA - Cotiviti - Amendment 2 - AS - 06302022 - Dynamics_68511.pdf,Blue Cross and Blue Shield of Louisiana,Amendment,Fully-Executed/Complete,AMD 2 to SOW 2 (2022-2025 DxCG Renewal),Moira Hubbard,Adam Speer,2022-05-26 16:51:14,2022-06-30,36672,Performance Analytics,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68511/BCBSLA - Cotiviti - Amendment 2 - AS - 06302022 - Dynamics_68511.pdf,Amendment No. 2 to the DxCG INTELLIGENCE LICENSE STATEMENT OF WORK NO. 2,DxCG,BCBSLA,\b(blue\s*cross\s*(and\s*)?blue\s*shield\s*of\s*louisiana|bcbsla)\b,BCBSLA - Cotiviti - Amendment 2 - AS - 06302022 - Dynamics_68511.pdf
63344,s3://ml-legal-restricted/contract-docs/63344/Aetna Life Insurance Company - Cotiviti - Work Order - JK - 06292022 - Dynamics_63344.pdf,Aetna Life Insurance Company,SOW,Fully-Executed/Complete,Aetna Eliza OhioRise Welcome SOW,Willem Friso van Reesema,Jeffrey Koslowski,2021-11-18 11:53:27,2022-06-29,63460,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/63344/Aetna Life Insurance Company - Cotiviti - Work Order - JK - 06292022 - Dynamics_63344.pdf,ELIZA® SERVICES ORDER FORM,Eliza Standard,Aetna,\baetna\b,Aetna Life Insurance Company - Cotiviti - Work Order - JK - 06292022 - Dynamics_63344.pdf
68779,s3://ml-legal-restricted/contract-docs/68779/Aetna Life Insurance Company - Cotiviti - Statement of Destruction - JK - 06282022 - Dynamics_68779.pdf,Aetna Life Insurance Company,Statement of Destruction,Fully-Executed/Complete,Aetna Sentinel - Errant Data Destruction Letter,Tony Potts,Jeffrey Koslowski,2022-06-27 21:12:17,2022-06-28,,Risk Adjustment,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68779/Aetna Life Insurance Company - Cotiviti - Statement of Destruction - JK - 06282022 - Dynamics_68779.pdf,Data Destruction Letter,Medicare Adv. Coding,Aetna,\baetna\b,Aetna Life Insurance Company - Cotiviti - Statement of Destruction - JK - 06282022 - Dynamics_68779.pdf
68870,s3://ml-legal-restricted/contract-docs/68870/Aetna Life Insurance Company - Cotiviti - SOW - JK - 07262022 - Dynamics_68870.pdf,Aetna Life Insurance Company,SOW,Fully-Executed/Complete,Aetna - Illinois - Eliza Welcome & HRA Engage and Transfer,Cody Dodge,Jeffrey Koslowski,2022-07-08 15:41:56,2022-06-26,63460,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68870/Aetna Life Insurance Company - Cotiviti - SOW - JK - 07262022 - Dynamics_68870.pdf,STATEMENT OF WORK Illinois Welcome & HRA Engage and Transfer,Eliza Standard,Aetna,\baetna\b,Aetna Life Insurance Company - Cotiviti - SOW - JK - 07262022 - Dynamics_68870.pdf
68111,s3://ml-legal-restricted/contract-docs/68111/Centene - Cotiviti - Amendment - JK - 06252022 - Dynamics_68111.pdf,Centene Corporation,Amendment,Fully-Executed/Complete,Amendment adding IN Medicaid Product,Brenda Dimartino,Jeffrey Koslowski,2022-04-08 18:46:52,2022-06-25,55292,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68111/Centene - Cotiviti - Amendment - JK - 06252022 - Dynamics_68111.pdf,AMENDMENT TO CLAIMS AUDIT SERVICES AGREEMENT,Data Mining,Centene,\bcentene\b,Centene - Cotiviti - Amendment - JK - 06252022 - Dynamics_68111.pdf
68151,s3://ml-legal-restricted/contract-docs/68151/Highmark - Cotiviti - WO-CR - TE - 06222022 - Dynamics_68151.pdf,Highmark Blue Cross Blue Shield,Work Order / Change Request,Fully-Executed/Complete,Highmark-MI- DXCG Historical Data,Carla Galisin,Timothy Ellebracht,2022-04-14 19:51:57,2022-06-22,6266,Performance Analytics,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68151/Highmark - Cotiviti - WO-CR - TE - 06222022 - Dynamics_68151.pdf,Work Order,DxCG,Highmark,\bhighmark\b,Highmark - Cotiviti - WO-CR - TE - 06222022 - Dynamics_68151.pdf
68696,s3://ml-legal-restricted/contract-docs/68696/Centene Corporation - Cotiviti - Attestation - JK - 06202022 - Dynamics_68696.pdf,Centene Corporation,Attestation,Fully-Executed/Complete,Executive Order N-6-22 Attestation,Brenda Dimartino,Jeffrey Koslowski,2022-06-17 17:38:13,2022-06-20,,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68696/Centene Corporation - Cotiviti - Attestation - JK - 06202022 - Dynamics_68696.pdf,Contractor and Grantee Compliance with Economic Sanctions Imposed in Response to Russia’s Actions in Ukraine,Data Mining,Centene,\bcentene\b,Centene Corporation - Cotiviti - Attestation - JK - 06202022 - Dynamics_68696.pdf
68476,s3://ml-legal-restricted/contract-docs/68476/Aetna Life Insurance Company - Cotiviti - Letter - JK - 06242022 - Dynamics_68476.pdf,Aetna Life Insurance Company,Letter,Fully-Executed/Complete,2022 Letter Agreement for Limited MRA Ciox Coding project,Tony Potts,Jeffrey Koslowski,2022-05-23 17:31:09,2022-06-20,54606,Risk Adjustment,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68476/Aetna Life Insurance Company - Cotiviti - Letter - JK - 06242022 - Dynamics_68476.pdf,Cotiviti Coding Only Project for Aetna Medicare and MMP Risk Adjustment,Medicare Adv. Coding,Aetna,\baetna\b,Aetna Life Insurance Company - Cotiviti - Letter - JK - 06242022 - Dynamics_68476.pdf
68082,s3://ml-legal-restricted/contract-docs/68082/Healthcare Insight Termination Letter (MSM) - signed.pdf,Centene Corporation,Termination,Fully-Executed/Complete,Centene FWAV Termination,Rick Borzymowski,Jeffrey Koslowski,2022-04-06 21:16:38,2022-06-20,7962,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68082/Healthcare Insight Termination Letter (MSM) - signed.pdf,TERMINATION SUMMARY – CENTENE CORPORATION,SIU Services,Centene,\bcentene\b,Healthcare Insight Termination Letter (MSM) - signed.pdf
67944,s3://ml-legal-restricted/contract-docs/67944/Centene - Cotiviti - SOW - JK - 06202022 - Dynamics_67944.pdf,Centene Corporation,SOW,Fully-Executed/Complete,Absolute Total Care - Redetermination Order Form,Cody Dodge,Jeffrey Koslowski,2022-03-23 20:56:39,2022-06-20,64680,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/67944/Centene - Cotiviti - SOW - JK - 06202022 - Dynamics_67944.pdf,ELIZA® SERVICES ORDER FORM,Eliza Standard,Centene,\bcentene\b,Centene - Cotiviti - SOW - JK - 06202022 - Dynamics_67944.pdf
68623,s3://ml-legal-restricted/contract-docs/68623/Kaiser - Cotiviti - Work Order - JK - 06162022 - Dynamics_68623.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,KP - Member Transition SMS Programs - 2022 Renewal,Brian Rousey,Jeffrey Koslowski,2022-06-10 02:34:21,2022-06-16,68052,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68623/Kaiser - Cotiviti - Work Order - JK - 06162022 - Dynamics_68623.pdf,Work Order Form,Eliza Standard,Kaiser,\bkaiser(\s+permanente)?\b,Kaiser - Cotiviti - Work Order - JK - 06162022 - Dynamics_68623.pdf
68660,s3://ml-legal-restricted/contract-docs/68660/Aetna Life Insurance Company - Cotiviti - Amendment - JK - 06162022 - Dynamics_68660.pdf,Aetna Life Insurance Company,Amendment,Fully-Executed/Complete,Eliza OhioRISE FDR RCA Amendment Draft,Mareah Patalano,Jeffrey Koslowski,2022-06-14 16:41:13,2022-06-15,63460,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68660/Aetna Life Insurance Company - Cotiviti - Amendment - JK - 06162022 - Dynamics_68660.pdf,"OHIORISE REGULATORY COMPLIANCE ADDENDUM AMENDMENT CONNECTIVITY VENDORAGREEMENT BETWEEN AETNA LIFE INSURANCE COMPANY (“AETNA”) AND Cotiviti, Inc. f/k/a ELIZA CORPORATION (“SUPPLIER”)",Eliza Standard,Aetna,\baetna\b,Aetna Life Insurance Company - Cotiviti - Amendment - JK - 06162022 - Dynamics_68660.pdf
68302,s3://ml-legal-restricted/contract-docs/68302/UHC - Cotiviti - Amendment 2 - JK - 06152022 - Dynamics_68302.pdf,United HealthCare Services,Amendment,Fully-Executed/Complete,Amendment 2 to SOW 201 (Term Renewal through Aug. 2023),Laura Owen,Jeffrey Koslowski,2022-05-04 12:39:06,2022-06-15,65787,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68302/UHC - Cotiviti - Amendment 2 - JK - 06152022 - Dynamics_68302.pdf,Amendment 2 to Statement of Work Number 201 United – TX Dental Non-Compliance Program,Eliza Standard,United,\b(united\s*health( ?care)?|unitedhealth(group)?|uhc)\b,UHC - Cotiviti - Amendment 2 - JK - 06152022 - Dynamics_68302.pdf
68413,s3://ml-legal-restricted/contract-docs/68413/Humana - Cotiviti - WO-CR - JK - 06142022 - Dynamics_68413.pdf,Humana,Work Order / Change Request,Fully-Executed/Complete,Eliza Change Order - Humana - HUMPSRR May 2022,Mareah Patalano,Jeffrey Koslowski,2022-05-17 19:00:19,2022-06-14,67081,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68413/Humana - Cotiviti - WO-CR - JK - 06142022 - Dynamics_68413.pdf,ELIZA® SERVICES CHANGE ORDER FORM,Eliza Standard,Humana,\bhumana\b,Humana - Cotiviti - WO-CR - JK - 06142022 - Dynamics_68413.pdf
68190,s3://ml-legal-restricted/contract-docs/68190/UPMC Health Plan - Cotiviti - Change Order 1 - KW - 06142022 - Dynamics_68190.pdf,UPMC Health Plan,Work Order / Change Request,Fully-Executed/Complete,UPMC-Tardy Refill-Add MCB-Order Form,Brian Rousey,Kyle Waite,2022-04-20 21:17:04,2022-06-14,67374,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68190/UPMC Health Plan - Cotiviti - Change Order 1 - KW - 06142022 - Dynamics_68190.pdf,ELIZA® SERVICES CHANGE ORDER FORM,Eliza Standard,UPMC,\bupmc\b,UPMC Health Plan - Cotiviti - Change Order 1 - KW - 06142022 - Dynamics_68190.pdf
68189,s3://ml-legal-restricted/contract-docs/68189/UPMCHP - Cotiviti - CO2 - KW - 06142022 - Dynamics_68189.pdf,UPMC Health Plan,Work Order / Change Request,Fully-Executed/Complete,UPMC-Refill Reminder-Add MCB-Order Form,Brian Rousey,Kyle Waite,2022-04-20 21:08:50,2022-06-14,67067,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68189/UPMCHP - Cotiviti - CO2 - KW - 06142022 - Dynamics_68189.pdf,CHANGE ORDER FORM,Eliza Standard,UPMC,\bupmc\b,UPMCHP - Cotiviti - CO2 - KW - 06142022 - Dynamics_68189.pdf
66358,s3://ml-legal-restricted/contract-docs/66358/UHC - Cotiviti - Amendment 1 to SOW 196 - KW - 06072022 - Dynamics_ 66358.pdf,United HealthCare Services,Amendment,Fully-Executed/Complete,UHC Amendment 1 to SOW 196,Laura Owen,Kyle Waite,2021-12-16 15:30:56,2022-06-07,65781,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/66358/UHC - Cotiviti - Amendment 1 to SOW 196 - KW - 06072022 - Dynamics_ 66358.pdf,AMENDMENT 1 TO THE STATEMENT OF WORK NUMBER 196 UNITED – EMERGENCY RESPONSE AND REFILL PROGRAM,Eliza Standard,United,\b(united\s*health( ?care)?|unitedhealth(group)?|uhc)\b,UHC - Cotiviti - Amendment 1 to SOW 196 - KW - 06072022 - Dynamics_ 66358.pdf
68591,s3://ml-legal-restricted/contract-docs/68591/Capital Blue Cross - Cotiviti - NDA - MS - 06212022 - Dynamics_68591.pdf,Capital Blue Cross,NDA,Fully-Executed/Complete,Cotiviti Submissions RFP - NDA - June 2022,Todd Fenton,Manisha Sen,2022-06-06 14:14:26,2022-06-06,,Risk Adjustment,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68591/Capital Blue Cross - Cotiviti - NDA - MS - 06212022 - Dynamics_68591.pdf,Mutual Confidentiality and Non-Disclosure Agreement,Risk Adjustment,,,Capital Blue Cross - Cotiviti - NDA - MS - 06212022 - Dynamics_68591.pdf
68560,s3://ml-legal-restricted/contract-docs/68560/Kaiser Foundation Health Plan - Cotiviti - Work Order - JK - 06052022 - Dynamics_68560.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,KP - HMO Pre-visit SMS - 2022 Renewal,Brian Rousey,Jeffrey Koslowski,2022-06-01 19:02:26,2022-06-05,68052,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68560/Kaiser Foundation Health Plan - Cotiviti - Work Order - JK - 06052022 - Dynamics_68560.pdf,Work Order Form,Eliza Standard,Kaiser,\bkaiser(\s+permanente)?\b,Kaiser Foundation Health Plan - Cotiviti - Work Order - JK - 06052022 - Dynamics_68560.pdf
68559,s3://ml-legal-restricted/contract-docs/68559/KPFHP - Cotiviti - WorkOrder - JK - 06052022 - Dynamics_68559.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,KP - KP CLR HMO Post Visit Follow Up Program - 2022 Renewal,Brian Rousey,Jeffrey Koslowski,2022-06-01 18:57:19,2022-06-05,68052,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68559/KPFHP - Cotiviti - WorkOrder - JK - 06052022 - Dynamics_68559.pdf,Work Order Form,Eliza Standard,Kaiser,\bkaiser(\s+permanente)?\b,KPFHP - Cotiviti - WorkOrder - JK - 06052022 - Dynamics_68559.pdf
68520,s3://ml-legal-restricted/contract-docs/68520/KP - Cotiviti - WO-CR - JK - 06052022 -  Dynamics_68520.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,KP - DHMO Trigger Campaign Pre Visit - 2022 Renewal Work Order,Brian Rousey,Jeffrey Koslowski,2022-05-27 03:57:29,2022-06-05,68052,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68520/KP - Cotiviti - WO-CR - JK - 06052022 -  Dynamics_68520.pdf,Work Order Form,Eliza Standard,Kaiser,\bkaiser(\s+permanente)?\b,KP - Cotiviti - WO-CR - JK - 06052022 -  Dynamics_68520.pdf
68563,s3://ml-legal-restricted/contract-docs/68563/KFHP - Cotiviti - SOW CO2 - JK - 06182022 - Dynamics_68563.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,Kaiser NCal_CO#2 to Amendment #10_RCA,Jay Dupras,Jeffrey Koslowski,2022-06-01 19:53:14,2022-06-01,57432,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68563/KFHP - Cotiviti - SOW CO2 - JK - 06182022 - Dynamics_68563.pdf,PROFESSIONAL SERVICES STATEMENT OF WORK – CHANGE ORDER # 2,Retrospective COB Validation,Kaiser,\bkaiser(\s+permanente)?\b,KFHP - Cotiviti - SOW CO2 - JK - 06182022 - Dynamics_68563.pdf
68561,s3://ml-legal-restricted/contract-docs/68561/Kaiser Foundation Health Plan - Cotiviti - Change Order 2 - JK - 06012022 - Dynamics_68561.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,Kaiser SCal_CO#2 to Amendment #10_RCA,Jay Dupras,Jeffrey Koslowski,2022-06-01 19:16:22,2022-06-01,57431,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68561/Kaiser Foundation Health Plan - Cotiviti - Change Order 2 - JK - 06012022 - Dynamics_68561.pdf,PROFESSIONAL SERVICES STATEMENT OF WORK – CHANGE ORDER # 2,Retrospective COB Validation,Kaiser,\bkaiser(\s+permanente)?\b,Kaiser Foundation Health Plan - Cotiviti - Change Order 2 - JK - 06012022 - Dynamics_68561.pdf
68553,s3://ml-legal-restricted/contract-docs/68553/KFHP - Cotiviti - SOW CO2 - JK - 05312022 - Dynamics_68553.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,Kaiser MAS_CO#2 to Amendment #10_RCA,Jay Dupras,Jeffrey Koslowski,2022-05-31 21:46:04,2022-06-01,57434,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68553/KFHP - Cotiviti - SOW CO2 - JK - 05312022 - Dynamics_68553.pdf,PROFESSIONAL SERVICES STATEMENT OF WORK – CHANGE ORDER # 2,Data Mining,Kaiser,\bkaiser(\s+permanente)?\b,KFHP - Cotiviti - SOW CO2 - JK - 05312022 - Dynamics_68553.pdf
68521,s3://ml-legal-restricted/contract-docs/68521/Kaiser Permanente - Cotiviti - Work Order - JK - 06052022 - Dynamics_68521.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,KP - DHMO Trigger Campaign Switch - 2022 Renewal Work Order,Brian Rousey,Jeffrey Koslowski,2022-05-27 03:59:59,2022-06-01,68052,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68521/Kaiser Permanente - Cotiviti - Work Order - JK - 06052022 - Dynamics_68521.pdf,Work Order Form,Eliza Standard,Kaiser,\bkaiser(\s+permanente)?\b,Kaiser Permanente - Cotiviti - Work Order - JK - 06052022 - Dynamics_68521.pdf
68519,s3://ml-legal-restricted/contract-docs/68519/Kaiser - Cotiviti - Work Order - JK - 06052022 - Dynamics_68519.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,KP - DHMO Trigger Campaign Post Visit - 2022 Renewal Work Order,Brian Rousey,Jeffrey Koslowski,2022-05-27 03:53:00,2022-06-01,68052,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68519/Kaiser - Cotiviti - Work Order - JK - 06052022 - Dynamics_68519.pdf,Work Order Form,Eliza Standard,Kaiser,\bkaiser(\s+permanente)?\b,Kaiser - Cotiviti - Work Order - JK - 06052022 - Dynamics_68519.pdf
68514,s3://ml-legal-restricted/contract-docs/68514/Kaiser - Cotiviti - CO - JK - 05262022 - Dynamics_68514.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,Kaiser CO_CO#2 to Amendment #10_RCA,Jay Dupras,Jeffrey Koslowski,2022-05-26 18:32:44,2022-06-01,57478,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68514/Kaiser - Cotiviti - CO - JK - 05262022 - Dynamics_68514.pdf,PROFESSIONAL SERVICES STATEMENT OF WORK – CHANGE ORDER # 2,Data Mining,Kaiser,\bkaiser(\s+permanente)?\b,Kaiser - Cotiviti - CO - JK - 05262022 - Dynamics_68514.pdf
68481,s3://ml-legal-restricted/contract-docs/68481/Kaiser Permanente - Cotiviti - Work Order - JK - 05312022 - Dynamics_68481.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,KPCLRMC - New Member Welcome Outreach - 2022,Brian Rousey,Jeffrey Koslowski,2022-05-24 15:33:25,2022-06-01,68052,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68481/Kaiser Permanente - Cotiviti - Work Order - JK - 05312022 - Dynamics_68481.pdf,Work Order Form,Eliza Standard,Kaiser,\bkaiser(\s+permanente)?\b,Kaiser Permanente - Cotiviti - Work Order - JK - 05312022 - Dynamics_68481.pdf
68429,s3://ml-legal-restricted/contract-docs/68429/Kaiser Permanente - Cotiviti - Work Order - JK - 05182022 - Dynamics_68429.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,Kaiser HI_CO#2 to Amendment #10_RCA,Jay Dupras,Jeffrey Koslowski,2022-05-18 15:18:58,2022-06-01,57477,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68429/Kaiser Permanente - Cotiviti - Work Order - JK - 05182022 - Dynamics_68429.pdf,PROFESSIONAL SERVICES STATEMENT OF WORK – CHANGE ORDER # 2,Data Mining,Kaiser,\bkaiser(\s+permanente)?\b,Kaiser Permanente - Cotiviti - Work Order - JK - 05182022 - Dynamics_68429.pdf
68351,s3://ml-legal-restricted/contract-docs/68351/Kaiser Foundation Health Plan - Cotiviti - Change Order 2 - JK - 05232022 - Dynamics_68351.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,Kaiser GA_CO#2 to Amendment #10__RCA,Willem Friso van Reesema,Jeffrey Koslowski,2022-05-10 15:10:31,2022-06-01,57287,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68351/Kaiser Foundation Health Plan - Cotiviti - Change Order 2 - JK - 05232022 - Dynamics_68351.pdf,PROFESSIONAL SERVICES STATEMENT OF WORK – CHANGE ORDER # 2,Data Mining,Kaiser,\bkaiser(\s+permanente)?\b,Kaiser Foundation Health Plan - Cotiviti - Change Order 2 - JK - 05232022 - Dynamics_68351.pdf
68313,s3://ml-legal-restricted/contract-docs/68313/Kaiser - Cotiviti - Change Order - JK - 05052022 - Dynamics_68313.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,Kaiser NW_CO#1 to Amendment #10_RCCV,Willem Friso van Reesema,Jeffrey Koslowski,2022-05-05 14:19:03,2022-06-01,57330,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/68313/Kaiser - Cotiviti - Change Order - JK - 05052022 - Dynamics_68313.pdf,PROFESSIONAL SERVICES STATEMENT OF WORK – CHANGE ORDER # 1,Retrospective Clinical Chart Validation,Kaiser,\bkaiser(\s+permanente)?\b,Kaiser - Cotiviti - Change Order - JK - 05052022 - Dynamics_68313.pdf
